Incident ID,Incident Date,State,City Or County,Address,Complete_Address,School name,Coordinates,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2642489,2023-07-04T00:00:00Z,Michigan,Lansing,6520 Mercantile Way,"6520 Mercantile Way,Lansing,Michigan",,"42.66427819351443,-84.53611032645045",0,5,0,0,0
2643549,2023-07-04T00:00:00Z,California,Hayward,400  Ranker Place,"400  Ranker Place,Hayward,California",,"37.639976,-122.0736",0,5,0,1,2
2642484,2023-07-04T00:00:00Z,North Carolina,Charlotte,5300  Park Brook Dr,"5300  Park Brook Dr,Charlotte,North Carolina",,"35.284992,-80.818714",0,4,0,0,0
2642262,2023-07-03T00:00:00Z,Texas,Fort Worth,2100  Christine Ave,"2100  Christine Ave,Fort Worth,Texas",,"32.724359,-97.28905",0,4,0,0,1
2642495,2023-07-03T00:00:00Z,Indiana,Indianapolis,3200  Forest Manor Ave,"3200  Forest Manor Ave,Indianapolis,Indiana",,"39.81425090909091,-86.09795945454545",1,3,0,0,0
2645345,2023-07-03T00:00:00Z,Indiana,Michigan City,1100  Salem St,"1100  Salem St,Michigan City,Indiana",,"41.69698864750959,-86.86750667110863",0,4,0,0,0
2642785,2023-07-03T00:00:00Z,Missouri,Saint Ann,4116 Jane Ave,"4116 Jane Ave,Saint Ann,Missouri",,"38.73525353676716,-90.37305434220798",3,1,1,0,0
2642071,2023-07-03T00:00:00Z,Pennsylvania,Philadelphia,5700  Warrington Ave,"5700  Warrington Ave,Philadelphia,Pennsylvania",,"39.938743,-75.229801",5,2,0,0,1
2640311,2023-07-02T00:00:00Z,Kansas,Wichita,222 N Washington St,"222 N Washington St,Wichita,Kansas",,"37.72841,-97.326235",0,9,0,0,3
2641112,2023-07-02T00:00:00Z,New York,Bronx,1780 Eastburn Ave,"1780 Eastburn Ave,Bronx,New York",,"40.8464834,-73.90807006481386",0,4,0,0,0
2640219,2023-07-02T00:00:00Z,Maryland,Baltimore,800  Gretna Ct,"800  Gretna Ct,Baltimore,Maryland",,"39.230623,-76.601349",2,27,0,1,5
2639780,2023-07-01T00:00:00Z,Oklahoma,Tulsa,1150 S Sheridan Rd,"1150 S Sheridan Rd,Tulsa,Oklahoma",,"36.147027367346936,-95.9046810612245",0,4,0,0,0
2639130,2023-06-30T00:00:00Z,California,Florin,7870 Florin Rd,"7870 Florin Rd,Florin,California",,"38.49594593288591,-121.41125452348993",0,4,0,0,0
2639623,2023-06-30T00:00:00Z,Illinois,Chicago,6300  S Artesian Ave,"6300  S Artesian Ave,Chicago,Illinois",,"41.779116,-87.684969",1,3,0,0,0
2638784,2023-06-29T00:00:00Z,Texas,Odessa,4310 N Dixie Blvd,"4310 N Dixie Blvd,Odessa,Texas",,"31.88642,-102.375233",1,4,0,0,3
2636671,2023-06-26T00:00:00Z,Michigan,Ypsilanti,800  George Pl,"800  George Pl,Ypsilanti,Michigan",,"42.244198,-83.596726",2,2,0,0,1
2634835,2023-06-25T00:00:00Z,Missouri,Kansas City,5646 Prospect Ave,"5646 Prospect Ave,Kansas City,Missouri",,"39.0238751632653,-94.55544810204081",3,6,0,0,1
2635437,2023-06-25T00:00:00Z,Ohio,Cincinnati,1233 Clay St,"1233 Clay St,Cincinnati,Ohio",,"39.1096956,-84.5127973",0,4,0,0,0
2634840,2023-06-25T00:00:00Z,Indiana,Indianapolis,800  Broad Ripple Ave,"800  Broad Ripple Ave,Indianapolis,Indiana",,"39.869777,-86.144612",3,1,0,0,1
2634933,2023-06-25T00:00:00Z,Maryland,Temple Hills (Marlow Heights),4400  Stamp Rd,"4400  Stamp Rd,Temple Hills (Marlow Heights),Maryland",,"38.8273476,-76.9432354",0,4,0,0,0
2635243,2023-06-24T00:00:00Z,North Carolina,Asheboro,800  Salem Ct,"800  Salem Ct,Asheboro,North Carolina",,"35.681768,-79.802977",0,4,0,0,2
2634357,2023-06-24T00:00:00Z,Texas,Beaumont,1600  Glasshouse St,"1600  Glasshouse St,Beaumont,Texas",,"30.107308,-94.112568",0,5,0,0,0
2632283,2023-06-21T00:00:00Z,Texas,Fort Worth,2120 Handley Dr,"2120 Handley Dr,Fort Worth,Texas",,"32.748337046542844,-97.21637808995132",1,3,0,0,1
2630581,2023-06-20T00:00:00Z,Michigan,Pontiac,28 Cherry Hill Dr,"28 Cherry Hill Dr,Pontiac,Michigan",,"42.668426,-83.319075",1,3,0,0,0
2629745,2023-06-19T00:00:00Z,Wisconsin,Milwaukee,2947 N Doctor MLK Jr Dr,"2947 N Doctor MLK Jr Dr,Milwaukee,Wisconsin",,"43.0722185,-87.91444829666963",0,6,0,0,1
2629821,2023-06-19T00:00:00Z,Illinois,Chicago,3200  W 79th St,"3200  W 79th St,Chicago,Illinois",,"41.749849,-87.703966",1,3,0,0,0
2628083,2023-06-18T00:00:00Z,Missouri,Saint Louis,1409 Washington Ave,"1409 Washington Ave,Saint Louis,Missouri",,"38.63272105,-90.19990010973163",1,9,0,0,0
